Instance type,Instance family,Instance size,Availability zones,Free tier eligible,Free Trial available,Bare metal,Hypervisor,vCPUs,Architecture,Cores,Valid cores,Threads per core,Valid threads per core,Sustained clock speed (GHz),Memory (GiB),Storage (GB),Local instance storage,Storage type,Storage disk count,EBS encryption support,EBS optimization support,Network performance,ENA support,Maximum number of network interfaces,IPv4 addresses per interface,IPv6 addresses per interface,IPv6 support,Supported placement group strategies,GPUs,FPGAs,Auto Recovery support,Reboot migration support,Supported root device types,Dedicated Host support,On-Demand Hibernation support,Burstable Performance support,Current generation,EBS Baseline Bandwidth (Mbps),EBS Baseline IOPS,EBS Baseline Throughput (MB/s),EBS Maximum Bandwidth (Mbps),EBS Maximum IOPS,EBS Maximum Throughput (MB/s),On-Demand Windows pricing,On-Demand Linux pricing,On-Demand SUSE pricing,On-Demand RHEL pricing,On-Demand Ubuntu Pro pricing,ENA Express support,ENA queues support
c8id.24xlarge,c8id,24xlarge,"us-west-2a, us-west-2b, us-west-2c, us-west-2d",FALSE,FALSE,FALSE,nitro,96,x86_64,48,"4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48",2,"1,2",3.9,192,5700,TRUE,ssd,2,supported,default,40 Gigabit,required,16,64,64,TRUE,"cluster, partition, spread",0,0,-,unsupported,ebs,TRUE,-,-,TRUE,30000,120000,3750,30000,120000,3750,9.73824 USD per Hour,5.32224 USD per Hour,5.44724 USD per Hour,6.35904 USD per Hour,5.49024 USD per Hour,TRUE,TRUE
r6in.metal,r6in,metal,"us-west-2a, us-west-2b, us-west-2c",FALSE,FALSE,TRUE,,128,x86_64,64,-,2,-,3.5,1024,0,-,-,0,supported,default,200 Gigabit,required,16,50,50,TRUE,"cluster, partition, spread",0,0,TRUE,supported,ebs,TRUE,-,-,TRUE,100000,400000,12500,100000,400000,12500,17.04512 USD per Hour,11.15712 USD per Hour,11.28212 USD per Hour,12.38592 USD per Hour,11.38112 USD per Hour,TRUE,FALSE
m7gd.large,m7gd,large,"us-west-2a, us-west-2b, us-west-2c, us-west-2d",FALSE,FALSE,FALSE,nitro,2,arm64,2,"1,2",1,1,2.6,8,118,TRUE,ssd,1,supported,default,Up to 12.5 Gigabit,required,3,10,10,TRUE,"cluster, partition, spread",0,0,-,unsupported,ebs,TRUE,TRUE,-,TRUE,630,3600,78.75,10000,40000,1250,-,0.1068 USD per Hour,0.1631 USD per Hour,0.1356 USD per Hour,0.1103 USD per Hour,FALSE,FALSE
r7a.xlarge,r7a,xlarge,"us-west-2a, us-west-2b, us-west-2c, us-west-2d",FALSE,FALSE,FALSE,nitro,4,x86_64,4,"1,2,3,4",1,1,3.7,32,0,-,-,0,supported,default,Up to 12.5 Gigabit,required,4,15,15,TRUE,"cluster, partition, spread",0,0,TRUE,supported,ebs,TRUE,TRUE,-,TRUE,1250,6000,156.25,10000,40000,1250,0.4883 USD per Hour,0.3043 USD per Hour,0.3606 USD per Hour,0.3619 USD per Hour,0.3113 USD per Hour,FALSE,FALSE
i4i.16xlarge,i4i,16xlarge,"us-west-2a, us-west-2b, us-west-2c, us-west-2d",FALSE,FALSE,FALSE,nitro,64,x86_64,32,"2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32",2,"1,2",3.5,512,15000,TRUE,ssd,4,supported,default,37.5 Gigabit,required,15,50,50,TRUE,"cluster, partition, spread",0,0,-,unsupported,ebs,TRUE,-,-,TRUE,20000,80000,2500,20000,80000,2500,8.435 USD per Hour,5.491 USD per Hour,5.616 USD per Hour,6.182 USD per Hour,5.603 USD per Hour,TRUE,FALSE
d3en.2xlarge,d3en,2xlarge,"us-west-2a, us-west-2b, us-west-2c, us-west-2d",FALSE,FALSE,FALSE,nitro,8,x86_64,4,"2,4",2,"1,2",3.1,32,55920,TRUE,hdd,4,supported,default,Up to 25 Gigabit,required,4,5,5,TRUE,"cluster, partition, spread",0,0,-,unsupported,ebs,-,-,-,TRUE,1700,10000,212.5,2800,15000,350,1.419 USD per Hour,1.051 USD per Hour,1.176 USD per Hour,1.167 USD per Hour,1.065 USD per Hour,FALSE,FALSE
c8a.2xlarge,c8a,2xlarge,"us-west-2a, us-west-2b, us-west-2c, us-west-2d",FALSE,FALSE,FALSE,nitro,8,x86_64,8,"1,2,3,4,5,6,7,8",1,1,4.5,16,0,-,-,0,supported,default,Up to 15 Gigabit,required,4,40,40,TRUE,"cluster, partition, spread",0,0,TRUE,supported,ebs,TRUE,TRUE,-,TRUE,2500,12000,312.5,10000,40000,1250,0.79908 USD per Hour,0.43108 USD per Hour,0.55608 USD per Hour,0.54628 USD per Hour,0.44508 USD per Hour,FALSE,TRUE
r6a.xlarge,r6a,xlarge,"us-west-2a, us-west-2b, us-west-2c, us-west-2d",FALSE,FALSE,FALSE,nitro,4,x86_64,2,"1,2",2,"1,2",3.6,32,0,-,-,0,supported,default,Up to 12.5 Gigabit,required,4,15,15,TRUE,"cluster, partition, spread",0,0,TRUE,supported,ebs,TRUE,TRUE,-,TRUE,1250,6000,156.25,10000,40000,1250,0.4108 USD per Hour,0.2268 USD per Hour,0.2831 USD per Hour,0.2844 USD per Hour,0.2338 USD per Hour,FALSE,FALSE
t2.2xlarge,t2,2xlarge,"us-west-2a, us-west-2b, us-west-2c",FALSE,FALSE,FALSE,xen,8,x86_64,8,-,1,-,2.3,32,0,-,-,0,supported,unsupported,Moderate,unsupported,3,15,15,TRUE,"partition, spread",0,0,TRUE,supported,ebs,-,TRUE,TRUE,TRUE,0,0,0,0,0,0,0.4332 USD per Hour,0.3712 USD per Hour,0.4712 USD per Hour,0.4864 USD per Hour,0.3852 USD per Hour,FALSE,FALSE
r8gd.xlarge,r8gd,xlarge,"us-west-2a, us-west-2b, us-west-2c, us-west-2d",FALSE,FALSE,FALSE,nitro,4,arm64,4,"1,2,3,4",1,1,2.8,32,237,TRUE,ssd,1,supported,default,Up to 12.5 Gigabit,required,4,15,15,TRUE,"cluster, partition, spread",0,0,-,unsupported,ebs,TRUE,TRUE,-,TRUE,1250,6000,156.25,10000,40000,1250,-,0.29392 USD per Hour,0.35022 USD per Hour,0.35152 USD per Hour,0.30092 USD per Hour,FALSE,FALSE
