Instance type,Instance family,Instance size,Availability zones,Free tier eligible,Free Trial available,Bare metal,Hypervisor,vCPUs,Architecture,Cores,Valid cores,Threads per core,Valid threads per core,Sustained clock speed (GHz),Memory (GiB),Storage (GB),Local instance storage,Storage type,Storage disk count,EBS encryption support,EBS optimization support,Network performance,ENA support,Maximum number of network interfaces,IPv4 addresses per interface,IPv6 addresses per interface,IPv6 support,Supported placement group strategies,GPUs,FPGAs,Auto Recovery support,Reboot migration support,Supported root device types,Dedicated Host support,On-Demand Hibernation support,Burstable Performance support,Current generation,EBS Baseline Bandwidth (Mbps),EBS Baseline IOPS,EBS Baseline Throughput (MB/s),EBS Maximum Bandwidth (Mbps),EBS Maximum IOPS,EBS Maximum Throughput (MB/s),On-Demand Windows pricing,On-Demand Linux pricing,On-Demand SUSE pricing,On-Demand RHEL pricing,On-Demand Ubuntu Pro pricing,ENA Express support,ENA queues support
r6in.24xlarge,r6in,24xlarge,"us-west-2a, us-west-2b, us-west-2c",FALSE,FALSE,FALSE,nitro,96,x86_64,48,"4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48",2,"1,2",3.5,768,0,-,-,0,supported,default,150 Gigabit,required,15,50,50,TRUE,"cluster, partition, spread",0,0,TRUE,supported,ebs,TRUE,-,-,TRUE,75000,300000,9375,75000,300000,9375,12.78384 USD per Hour,8.36784 USD per Hour,8.49284 USD per Hour,9.40464 USD per Hour,8.53584 USD per Hour,TRUE,TRUE
trn1.32xlarge,trn1,32xlarge,"us-west-2b, us-west-2d",FALSE,FALSE,FALSE,nitro,128,x86_64,64,"2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64",2,"1,2",3.5,512,7600,TRUE,ssd,4,supported,default,8x 100 Gigabit,required,40,50,50,TRUE,"cluster, partition, spread",0,0,-,unsupported,ebs,TRUE,-,-,TRUE,80000,260000,10000,80000,260000,10000,-,21.5 USD per Hour,21.625 USD per Hour,22.7288 USD per Hour,21.724 USD per Hour,FALSE,FALSE
m6a.2xlarge,m6a,2xlarge,"us-west-2a, us-west-2b, us-west-2c, us-west-2d",FALSE,FALSE,FALSE,nitro,8,x86_64,4,"1,2,3,4",2,"1,2",3.6,32,0,-,-,0,supported,default,Up to 12.5 Gigabit,required,4,15,15,TRUE,"cluster, partition, spread",0,0,TRUE,supported,ebs,TRUE,TRUE,-,TRUE,2500,12000,312.5,10000,40000,1250,0.7136 USD per Hour,0.3456 USD per Hour,0.4706 USD per Hour,0.4608 USD per Hour,0.3596 USD per Hour,FALSE,FALSE
r6g.16xlarge,r6g,16xlarge,"us-west-2a, us-west-2b, us-west-2c, us-west-2d",FALSE,FALSE,FALSE,nitro,64,arm64,64,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64",1,1,2.5,512,0,-,-,0,supported,default,25 Gigabit,required,15,50,50,TRUE,"cluster, partition, spread",0,0,TRUE,supported,ebs,TRUE,-,-,TRUE,19000,80000,2375,19000,80000,2375,-,3.2256 USD per Hour,3.3506 USD per Hour,3.9168 USD per Hour,3.3376 USD per Hour,FALSE,FALSE
m6id.xlarge,m6id,xlarge,"us-west-2a, us-west-2b, us-west-2c, us-west-2d",FALSE,FALSE,FALSE,nitro,4,x86_64,2,"1,2",2,"1,2",3.5,16,237,TRUE,ssd,1,supported,default,Up to 12.5 Gigabit,required,4,15,15,TRUE,"cluster, partition, spread",0,0,-,unsupported,ebs,TRUE,TRUE,-,TRUE,1250,6000,156.25,10000,40000,1250,0.4213 USD per Hour,0.2373 USD per Hour,0.2936 USD per Hour,0.2949 USD per Hour,0.2443 USD per Hour,FALSE,TRUE
f1.2xlarge,f1,2xlarge,"us-west-2a, us-west-2b, us-west-2c",FALSE,FALSE,FALSE,xen,8,x86_64,4,"1,2,3,4",2,"1,2",2.3,122,470,TRUE,ssd,1,supported,default,Up to 10 Gigabit,supported,4,15,15,TRUE,"cluster, partition, spread",0,1,-,unsupported,ebs,TRUE,-,-,TRUE,1700,12000,212.5,1700,12000,212.5,-,1.65 USD per Hour,1.75 USD per Hour,1.7652 USD per Hour,-,FALSE,FALSE
r5a.xlarge,r5a,xlarge,"us-west-2a, us-west-2b, us-west-2c, us-west-2d",FALSE,FALSE,FALSE,nitro,4,x86_64,2,2,2,"1,2",2.5,32,0,-,-,0,supported,default,Up to 10 Gigabit,required,4,15,15,TRUE,"cluster, partition, spread",0,0,TRUE,supported,ebs,-,TRUE,-,TRUE,1085,6000,135.625,2880,16000,360,0.41 USD per Hour,0.226 USD per Hour,0.282 USD per Hour,0.284 USD per Hour,0.233 USD per Hour,FALSE,FALSE
m8g.8xlarge,m8g,8xlarge,"us-west-2a, us-west-2b, us-west-2c, us-west-2d",FALSE,FALSE,FALSE,nitro,32,arm64,32,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32",1,1,2.8,128,0,-,-,0,supported,default,15 Gigabit,required,8,30,30,TRUE,"cluster, partition, spread",0,0,TRUE,supported,ebs,TRUE,TRUE,-,TRUE,10000,40000,1250,10000,40000,1250,-,1.43616 USD per Hour,1.56116 USD per Hour,1.78176 USD per Hour,1.49216 USD per Hour,FALSE,FALSE
r5.24xlarge,r5,24xlarge,"us-west-2a, us-west-2b, us-west-2c, us-west-2d",FALSE,FALSE,FALSE,nitro,96,x86_64,48,"4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48",2,"1,2",3.1,768,0,-,-,0,supported,default,25 Gigabit,required,15,50,50,TRUE,"cluster, partition, spread",0,0,TRUE,supported,ebs,TRUE,-,-,FALSE,19000,80000,2375,19000,80000,2375,10.464 USD per Hour,6.048 USD per Hour,6.173 USD per Hour,7.085 USD per Hour,6.216 USD per Hour,FALSE,FALSE
m6idn.large,m6idn,large,"us-west-2a, us-west-2b, us-west-2c, us-west-2d",FALSE,FALSE,FALSE,nitro,2,x86_64,1,1,2,"1,2",3.5,8,118,TRUE,ssd,1,supported,default,Up to 25 Gigabit,required,3,10,10,TRUE,"cluster, partition, spread",0,0,-,unsupported,ebs,TRUE,TRUE,-,TRUE,1562,6250,195.3125,25000,100000,3125,0.25112 USD per Hour,0.15912 USD per Hour,0.21542 USD per Hour,0.18792 USD per Hour,0.16262 USD per Hour,FALSE,TRUE
